³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-10-31 17,4418062,94,2717774,6308,6402,7135836
2023-10-31 17,109702,5693,7026824,708,6401,7136527
2023-10-31 17,187063,5593,6949484,808,6401,7136548
2023-10-31 17,264424,5493,6872134,908,6401,7136559
2023-10-31 17,419147,5293,6717464,1108,6401,7136612
2023-10-31 17,496608,5193,6639924,1208,6401,7136533
2023-10-31 18,496608,5193,6639924,1208,6401,7136533
2023-10-31 18,574169,5093,6562274,1308,6401,7136444
2023-10-31 18,1351680,4093,5785074,2308,6401,7136755
2023-10-31 18,1662725,3693,5474194,2708,6401,7136920
2023-10-31 18,103946,5692,7034194,708,6400,7138141
2023-10-31 18,181907,5592,6956174,808,6400,7138082
2023-10-31 19,181907,5592,6956174,808,6400,7138082
2023-10-31 19,572211,5092,6566064,1308,6400,7138276
2023-10-31 19,650272,4992,6487954,1408,6400,7138227
2023-10-31 19,806594,4792,6331704,1608,6400,7138299
2023-10-31 19,1041077,4492,6097374,1908,6400,7138452
2023-10-31 19,1119238,4392,6019264,2008,6400,7138503
2023-10-31 19,1667064,3692,5549944,2608,6300,7217009
2023-10-31 19,2136629,3092,5080604,3208,6300,7217234
2023-10-31 19,2529932,2592,4687504,3708,6300,7217437
2023-10-31 19,3080557,1892,4137154,4408,6300,7217712
2023-10-31 19,3238578,1692,3979094,4608,6300,7217673
2023-10-31 20,1239928,91,5898062,6308,6399,7137990
2023-10-31 20,1239094,92,5901033,6308,6400,7140127
2023-10-31 20,1239094,2392,5901033,4007,6399,7140127
2023-10-31 20,1401612,2192,5738513,206,2398,7140126
2023-10-31 20,1726750,1792,5413363,606,2398,7140113
2023-10-31 20,1808009,1692,5332073,706,2398,7140083
2023-10-31 20,1808009,5692,5332073,706,6398,7140083
2023-10-31 20,2459183,4892,4681544,1506,6398,7140728
2023-10-31 20,2865880,4392,4275214,2006,6398,7141094
2023-10-31 20,3352337,3792,3789396,2606,6398,7141733
2023-10-31 20,3595415,3492,3546386,2906,6398,7141801
2023-10-31 20,4001512,2992,3140776,3406,6398,7142288
2023-10-31 20,4814105,1992,2329636,4406,6398,7143741
2023-10-31 20,5220302,1492,1923966,4906,6398,7144268
2023-10-31 20,6359832,92,785497,6306,6398,7145329
2023-10-31 20,6433605,2,711692,6396,6398,7145297
2023-10-31 21,6351464,102,748584,6351,6453,7100049
2023-10-31 21,6268405,202,624760,6501,6703,6893166
2023-10-31 21,6433523,2,459451,6701,6703,6892974
